Gender,Event M/W,Location,Year,Medal,Name,Nationality,Result,Event,Time_Cleaned,MixMatch
M,110M Hurdles Men,Antwerp,1920,B,Frederick MURRAY,USA,15.1,110M/100M Hurdles,15.1,MAntwerp1920B110M/100M Hurdles
M,110M Hurdles Men,London,1908,G,Forrest SMITHSON,USA,15,110M/100M Hurdles,15,MLondon1908G110M/100M Hurdles
M,110M Hurdles Men,London,1908,S,John GARRELLS,USA,15.7,110M/100M Hurdles,15.7,MLondon1908S110M/100M Hurdles
M,110M Hurdles Men,London,1908,B,Arthur SHAW,USA,None,110M/100M Hurdles,0,MLondon1908B110M/100M Hurdles
M,110M Hurdles Men,Paris,1900,G,Alvin KRAENZLEIN,USA,15.4,110M/100M Hurdles,15.4,MParis1900G110M/100M Hurdles
M,110M Hurdles Men,Paris,1900,S,John MCLEAN,USA,15.5,110M/100M Hurdles,15.5,MParis1900S110M/100M Hurdles
M,110M Hurdles Men,Paris,1900,B,Frederick MOLONEY,USA,15.6,110M/100M Hurdles,15.6,MParis1900B110M/100M Hurdles
M,110M Hurdles Men,London,2012,G,Aries MERRITT,USA,12.92,110M/100M Hurdles,12.92,MLondon2012G110M/100M Hurdles
M,110M Hurdles Men,London,2012,S,Jason RICHARDSON,USA,13.04,110M/100M Hurdles,13.04,MLondon2012S110M/100M Hurdles
M,110M Hurdles Men,London,2012,B,Hansle PARCHMENT,JAM,13.12,110M/100M Hurdles,13.12,MLondon2012B110M/100M Hurdles
M,110M Hurdles Men,Athens,2004,G,Xiang LIU,CHN,12.91,110M/100M Hurdles,12.91,MAthens2004G110M/100M Hurdles
M,110M Hurdles Men,Athens,2004,S,Terrence TRAMMELL,USA,13.18,110M/100M Hurdles,13.18,MAthens2004S110M/100M Hurdles
M,110M Hurdles Men,Athens,2004,B,Anier GARCIA,CUB,13.2,110M/100M Hurdles,13.2,MAthens2004B110M/100M Hurdles
M,110M Hurdles Men,Atlanta,1996,G,Allen JOHNSON,USA,12.95,110M/100M Hurdles,12.95,MAtlanta1996G110M/100M Hurdles
M,110M Hurdles Men,Atlanta,1996,S,Mark CREAR,USA,13.09,110M/100M Hurdles,13.09,MAtlanta1996S110M/100M Hurdles
M,110M Hurdles Men,Atlanta,1996,B,Florian SCHWARTHOFF,GER,13.17,110M/100M Hurdles,13.17,MAtlanta1996B110M/100M Hurdles
M,110M Hurdles Men,Moscow,1980,G,Thomas MUNKELT,GDR,13.39,110M/100M Hurdles,13.39,MMoscow1980G110M/100M Hurdles
M,110M Hurdles Men,Moscow,1980,S,Alejandro CASAÃAS,CUB,13.4,110M/100M Hurdles,13.4,MMoscow1980S110M/100M Hurdles
M,110M Hurdles Men,Moscow,1980,B,Aleksandr PUCHKOV,URS,13.44,110M/100M Hurdles,13.44,MMoscow1980B110M/100M Hurdles
M,110M Hurdles Men,Munich,1972,G,Rod MILBURN,USA,13.24,110M/100M Hurdles,13.24,MMunich1972G110M/100M Hurdles
M,110M Hurdles Men,Munich,1972,S,Guy DRUT,FRA,13.34,110M/100M Hurdles,13.34,MMunich1972S110M/100M Hurdles
M,110M Hurdles Men,Munich,1972,B,Thomas HILL,USA,13.48,110M/100M Hurdles,13.48,MMunich1972B110M/100M Hurdles
M,110M Hurdles Men,Tokyo,1964,G,Hayes JONES,USA,13.6,110M/100M Hurdles,13.6,MTokyo1964G110M/100M Hurdles
M,110M Hurdles Men,Tokyo,1964,S,Blaine LINDGREN,USA,13.7,110M/100M Hurdles,13.7,MTokyo1964S110M/100M Hurdles
M,110M Hurdles Men,Tokyo,1964,B,Anatoly MIKHAYLOV,URS,13.7,110M/100M Hurdles,13.7,MTokyo1964B110M/100M Hurdles
M,110M Hurdles Men,Melbourne / Stockholm,1956,G,Lee CALHOUN,USA,13.5,110M/100M Hurdles,13.5,MMelbourne / Stockholm1956G110M/100M Hurdles
M,110M Hurdles Men,Melbourne / Stockholm,1956,S,Jack DAVIS,USA,13.5,110M/100M Hurdles,13.5,MMelbourne / Stockholm1956S110M/100M Hurdles
M,110M Hurdles Men,Melbourne / Stockholm,1956,B,Joel SHANKLE,USA,14.1,110M/100M Hurdles,14.1,MMelbourne / Stockholm1956B110M/100M Hurdles
M,110M Hurdles Men,London,1948,G,Bill PORTER,USA,13.9,110M/100M Hurdles,13.9,MLondon1948G110M/100M Hurdles
M,110M Hurdles Men,London,1948,S,Clyde SCOTT,USA,14.1,110M/100M Hurdles,14.1,MLondon1948S110M/100M Hurdles
M,110M Hurdles Men,London,1948,B,Craig DIXON,USA,14.1,110M/100M Hurdles,14.1,MLondon1948B110M/100M Hurdles
M,110M Hurdles Men,Los Angeles,1932,G,George SALING,USA,14.6,110M/100M Hurdles,14.6,MLos Angeles1932G110M/100M Hurdles
M,110M Hurdles Men,Los Angeles,1932,S,Percy BEARD,USA,14.7,110M/100M Hurdles,14.7,MLos Angeles1932S110M/100M Hurdles
M,110M Hurdles Men,Los Angeles,1932,B,Donald FINLAY,GBR,14.8,110M/100M Hurdles,14.8,MLos Angeles1932B110M/100M Hurdles
M,110M Hurdles Men,Paris,1924,G,Daniel KINSEY,USA,15,110M/100M Hurdles,15,MParis1924G110M/100M Hurdles
M,110M Hurdles Men,Paris,1924,S,Sidney ATKINSON,RSA,15,110M/100M Hurdles,15,MParis1924S110M/100M Hurdles
M,110M Hurdles Men,Paris,1924,B,Sten PETTERSSON,SWE,15.4,110M/100M Hurdles,15.4,MParis1924B110M/100M Hurdles
M,110M Hurdles Men,Stockholm,1912,G,Frederick KELLY,USA,15.1,110M/100M Hurdles,15.1,MStockholm1912G110M/100M Hurdles
M,110M Hurdles Men,Stockholm,1912,S,James WENDELL,USA,15.2,110M/100M Hurdles,15.2,MStockholm1912S110M/100M Hurdles
